element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","","","","John Q. Adams","","","jmlinn_personography.xml"
"persName","","","","William Albaugh","","","jmlinn_personography.xml"
"persName","","","","Col. Allen","","","jmlinn_personography.xml"
"persName","","","","William Allison","","","jmlinn_personography.xml"
"persName","","","","Joseph Atkinson","","","jmlinn_personography.xml"
"persName","","","","Gen. Nathanial Banks","","","jmlinn_personography.xml"
"persName","","","","Frank Beale","","","jmlinn_personography.xml"
"persName","","","","Jacob G. Beaver","","","jmlinn_personography.xml"
"persName","","","","Col. Thomas Bell","","","jmlinn_personography.xml"
"persName","","","","Capt. Bennet","","","jmlinn_personography.xml"
"persName","","","","Henry Bentley","","","jmlinn_personography.xml"
"persName","","","","Dr. Daniel Bible","","","jmlinn_personography.xml"
"persName","","","","Thomas Blay","","","jmlinn_personography.xml"
"persName","","","","Thomas Bobst","","","jmlinn_personography.xml"
"persName","","","","David Brewer","","","jmlinn_personography.xml"
"persName","","","","David Brown","","","jmlinn_personography.xml"
"persName","","","","John Brown","","","jmlinn_personography.xml"
"persName","","","","Thomas Bulger","","","jmlinn_personography.xml"
"persName","","","standard","Ambrose Burnside","","","jmlinn_personography.xml"
"persName","","","","Jacob Buskirk","","","jmlinn_personography.xml"
"persName","","","","William F. Campbell","","","jmlinn_personography.xml"
"persName","","","","William Cameron","","","jmlinn_personography.xml"
"persName","","","","Mr. Carpenter","","","jmlinn_personography.xml"
"persName","","","","Capt. Thomas Chamberlain","","","jmlinn_personography.xml"
"persName","","","","Major Clark","","","jmlinn_personography.xml"
"persName","","","","James Conoway","","","jmlinn_personography.xml"
"persName","","","","Dick Coulter","","","jmlinn_personography.xml"
"persName","","","","Andrew Curtin","","","jmlinn_personography.xml"
"persName","","","","Amelia Dansen","","","jmlinn_personography.xml"
"persName","","","","John Dawson","","","jmlinn_personography.xml"
"persName","","","","Lionel Jobert D'Epineuil","","","jmlinn_personography.xml"
"persName","","","","Charles Drainer","","","jmlinn_personography.xml"
"persName","","","","John Foster","","","jmlinn_personography.xml"
"persName","","","","Em French","","","jmlinn_personography.xml"
"persName","","","","James Gibson","","","jmlinn_personography.xml"
"persName","","","","Thomas Grier","","","jmlinn_personography.xml"
"persName","","","","John Hartranft","","","jmlinn_personography.xml"
"persName","","","","G. H. Hassenplug","","","jmlinn_personography.xml"
"persName","","","","Edward Hatch","","","jmlinn_personography.xml"
"persName","","","","Capt. Hancock","","","jmlinn_personography.xml"
"persName","","","","Adam Henry","","","jmlinn_personography.xml"
"persName","","","","Fred Herman","","","jmlinn_personography.xml"
"persName","","","","Samuel P. Heintzelman","","","jmlinn_personography.xml"
"persName","","","","Gov. Thomas Holliday Hicks","","","jmlinn_personography.xml"
"persName","","","","Dr. John Hossack","","","jmlinn_personography.xml"
"persName","","","","Seth Housel","","","jmlinn_personography.xml"
"persName","","","","Albert Sidney Johnson","","","jmlinn_personography.xml"
"persName","","","","James A. Kelley","","","jmlinn_personography.xml"
"persName","","","","Charles Kleckner","","","jmlinn_personography.xml"
"persName","","","","Peter Koser","","","jmlinn_personography.xml"
"persName","","","","Lewis Longereau","","","jmlinn_personography.xml"
"persName","","","","Dick Langley","","","jmlinn_personography.xml"
"persName","","","","Frank Leslie","","","jmlinn_personography.xml"
"persName","","","","Annie Catherine Linn","","","jmlinn_personography.xml"
"persName","","","standard","James Merrill Linn","","","jmlinn_personography.xml"
"persName","","","","John Blair Linn","","","jmlinn_personography.xml"
"persName","","","","Laura Sheller Linn","","","jmlinn_personography.xml"
"persName","","","","William Lynch","","","jmlinn_personography.xml"
"persName","","","","Charles Mallory","","","jmlinn_personography.xml"
"persName","","","","Samuel Markley","","","jmlinn_personography.xml"
"persName","","","","George McClellan","","","jmlinn_personography.xml"
"persName","","","","Hugh McClure","","","jmlinn_personography.xml"
"persName","","","","Charles Merrill","","","jmlinn_personography.xml"
"persName","","","","Henry Miller","","","jmlinn_personography.xml"
"persName","","","","Jeremiah Miller","","","jmlinn_personography.xml"
"persName","","","","Joseph Antoine Viguier De Monteil","","","jmlinn_personography.xml"
"persName","","","","John Morris","","","jmlinn_personography.xml"
"persName","","","","Jeremiah Morse","","","jmlinn_personography.xml"
"persName","","","","Capt. Neal","","","jmlinn_personography.xml"
"persName","","","","Jacob Nyhart","","","jmlinn_personography.xml"
"persName","","","","Thomas O'Mara","","","jmlinn_personography.xml"
"persName","","","","John Parke","","","jmlinn_personography.xml"
"persName","","","","George Peabody","","","jmlinn_personography.xml"
"persName","","","","A.F.C. Phillips","","","jmlinn_personography.xml"
"persName","","","","Frank Porter","","","jmlinn_personography.xml"
"persName","","","","Lt. Col. Robert B. Potter","","","jmlinn_personography.xml"
"persName","","","","Capt. Potts","","","jmlinn_personography.xml"
"persName","","","","Alice Price","","","jmlinn_personography.xml"
"persName","","","","Robert Ransom","","","jmlinn_personography.xml"
"persName","","","","Frank Reno","","","jmlinn_personography.xml"
"persName","","","","Gen. Jesse Reno","","","jmlinn_personography.xml"
"persName","","","","Lord John Russell","","","jmlinn_personography.xml"
"persName","","","","Jacob Santo","","","jmlinn_personography.xml"
"persName","","","","Charles Schaffley","","","jmlinn_personography.xml"
"persName","","","","William Schaffley","","","jmlinn_personography.xml"
"persName","","","","William H. Seward","","","jmlinn_personography.xml"
"persName","","","","Henry Shaw","","","jmlinn_personography.xml"
"persName","","","","Lt. Col. Edwin Shall","","","jmlinn_personography.xml"
"persName","","","","Michael Shires","","","jmlinn_personography.xml"
"persName","","","standard","George Shorkley","","","jmlinn_personography.xml"
"persName","","","","Aaron Smith","","","jmlinn_personography.xml"
"persName","","","","Edward Stanly","","","jmlinn_personography.xml"
"persName","","","","Jacob Sweitzer","","","jmlinn_personography.xml"
"persName","","","","Matthew Vandine","","","jmlinn_personography.xml"
"persName","","","","Frank Vizetelly","","","jmlinn_personography.xml"
"persName","","","","Thomas Williams","","","jmlinn_personography.xml"
"persName","","","","C. Jennings Wise","","","jmlinn_personography.xml"
"persName","","","","Henry Wise","","","jmlinn_personography.xml"
"persName","","","","Major (Josiah?) Wood","","","jmlinn_personography.xml"
"persName","","","","John E. Wool","","","jmlinn_personography.xml"
"persName","","","","W.H. Worthington","","","jmlinn_personography.xml"
"persName","","","","Capt. Picot","","","jmlinn_personography.xml"
"persName","","","","Lt. Seldon","","","jmlinn_personography.xml"
"persName","","","","Capt. Bolton","","","jmlinn_personography.xml"
"persName","","","","Capt. Snyder","","","jmlinn_personography.xml"
"persName","","","","Buskin","","","jmlinn_personography.xml"
"persName","","","","Capt. Ritchie","","","jmlinn_personography.xml"
"persName","","","","Dr. Hassack","","","jmlinn_personography.xml"
"persName","","","","Rodumel","","","jmlinn_personography.xml"
"persName","","","","Dr. Church","","","jmlinn_personography.xml"
"persName","","","","Sergt. Etwine","","","jmlinn_personography.xml"
"persName","","","","Cuffy","","","jmlinn_personography.xml"
"persName","","","","Alcott","","","jmlinn_personography.xml"
"persName","","","","Mr. Morton","","","jmlinn_personography.xml"
"persName","","","","Charles Stewart","","","jmlinn_personography.xml"
"persName","","","","Walter","","","jmlinn_personography.xml"
"persName","","","","Capt. McRae","","","jmlinn_personography.xml"
"persName","","","","Capt. McChesney","","","jmlinn_personography.xml"
"persName","","","","Maj. Legendre","","","jmlinn_personography.xml"
"persName","","","","Col. Jordan","","","jmlinn_personography.xml"
"persName","","","","Fitzpatrick","","","jmlinn_personography.xml"
"persName","","","","Dr. Cutter","","","jmlinn_personography.xml"
"persName","","","","Lt. Harvey","","","jmlinn_personography.xml"
"persName","","","","Capt. Rowan","","","jmlinn_personography.xml"
"persName","","","","Capt. Perkin","","","jmlinn_personography.xml"
"persName","","","","Moseby","","","jmlinn_personography.xml"
"persName","","","","Connolly","","","jmlinn_personography.xml"
"persName","","","","Dr. Noble","","","jmlinn_personography.xml"
"persName","","","","Dr. Thompson","","","jmlinn_personography.xml"
"persName","","","","Capt. Mitchell","","","jmlinn_personography.xml"
"persName","","","","Mr. Walton","","","jmlinn_personography.xml"
"persName","","","","Gen. David S. Stanley","","","jmlinn_personography.xml"
"persName","","","","Lt. Van Buren","","","jmlinn_personography.xml"
"persName","","","","Abraham Lincoln","","","jmlinn_personography.xml"
"persName","","","","Richard Dye","","","jmlinn_personography.xml"
"persName","","","","Lt. Goodwin","","","jmlinn_personography.xml"
"persName","","","","Harrison Hause","","","jmlinn_personography.xml"
"persName","","","","John Murphy","","","jmlinn_personography.xml"
"persName","","","","Warner","","","jmlinn_personography.xml"
"persName","","","","Oliver Otis Howard","","","jmlinn_personography.xml"
"persName","","","","Nye","","","jmlinn_personography.xml"
"persName","","","","Gregg","","","jmlinn_personography.xml"
"persName","","","","Quartermaster Hall","","","jmlinn_personography.xml"
"persName","","","","John Hartz","","","jmlinn_personography.xml"
"persName","","","","James Dougherty","","","jmlinn_personography.xml"
"persName","","","","Capt. Taylor","","","jmlinn_personography.xml"
"persName","","","","Lt. Gaulen","","","jmlinn_personography.xml"
"persName","","","","Charles Kline","","","jmlinn_personography.xml"
"persName","","","","Lt. Lanig","","","jmlinn_personography.xml"
"persName","","","","Stitzer","","","jmlinn_personography.xml"
"persName","","","","H. Co'y McCormick","","","jmlinn_personography.xml"
"persName","","","","Srgt. Shuck","","","jmlinn_personography.xml"
"persName","","","","Hoffman","","","jmlinn_personography.xml"
"persName","","","","Dr. Warren","","","jmlinn_personography.xml"
"persName","","","","Irvin","","","jmlinn_personography.xml"
"persName","","","","Col. Rush C. Hawkins","","","jmlinn_personography.xml"
"persName","","","","Warden","","","jmlinn_personography.xml"
"persName","","","","Hayman","","","jmlinn_personography.xml"
"persName","","","","Trail Stubs","","","jmlinn_personography.xml"
"persName","","","","Peter Mc W. Davis","","","jmlinn_personography.xml"
"persName","","","","Col. Alberto Maggi","","","jmlinn_personography.xml"
"persName","","","","Col. Kurtz","","","jmlinn_personography.xml"
"persName","","","","Capt. Biggs","","","jmlinn_personography.xml"
"persName","","","","Sgt. Grassmine","","","jmlinn_personography.xml"
"persName","","","","Col. Nagel","","","jmlinn_personography.xml"
"persName","","","","Col. Martin","","","jmlinn_personography.xml"
"persName","","","","Col. Ferrero","","","jmlinn_personography.xml"
"persName","","","","Edward Mauran","","","jmlinn_personography.xml"
"persName","","","","Lt. van Heusen","","","jmlinn_personography.xml"
"persName","","","","Lt Col Joshua K Sigfried","","","jmlinn_personography.xml"
"persName","","","","Jacob Bachenheimer","","","jmlinn_personography.xml"
"persName","","","","George W. Arnold","","","jmlinn_personography.xml"
"persName","","","","Col. George Schall","","","jmlinn_personography.xml"
"persName","","","","John Miller","","","jmlinn_personography.xml"
"persName","","","","John Hummel","","","jmlinn_personography.xml"
"persName","","","","Charley Shriner","","","jmlinn_personography.xml"
"persName","","","","Capt. William H. Blair","","","jmlinn_personography.xml"
"persName","","","","Peter Schmidt","","","jmlinn_personography.xml"
"persName","","","","David Clark","","","jmlinn_personography.xml"
"persName","","","","Lt. Abraham Hart","","","jmlinn_personography.xml"
"persName","","","","Capt. W.W. Armstrong","","","jmlinn_personography.xml"
"persName","","","","(Capt.) Cipriano Ferrandini","","","jmlinn_personography.xml"
"persName","","","","Capt. Willard","","","jmlinn_personography.xml"
