element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","Joseph Antoine Viguier De Monteil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper061","","Lt Col Vignier de Monteil","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
"persName","Lionel Jobert D'Epineuil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper064","","Colonel D'Epineuil","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
"persName","Capt. W.W. Armstrong","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper183","","Cap W.W. Armstrong","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
"persName","Lionel Jobert D'Epineuil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper064","","Col D'Epineuil","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
"persName","","","","D'Epineuil","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","","Tom Grier","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
"persName","","","","Tom","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
"persName","Lionel Jobert D'Epineuil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper064","","D'Epineul","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
"persName","","","","wife","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","Lt. Morris","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
"persName","","","","Colonel","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
"persName","","","","butler","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","","Wednesday 11.","1861-12-11_0_1_0_0_0_0_0_0_0_0.xml"
