element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","","","","the Captain","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Dick Langly","","servent","Dick Langly","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Wilter","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Beur","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Nyhart","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Nyhart","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Campbel","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Campbel","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Allison","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Allison","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","John Dawson","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","John Dawson","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Campbell","","chaplain","Campbell","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","commodore","","","Stewart","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Adjutant","","","Phillips","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Phillips","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Stewart","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Annie","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Annie","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Amelia Dansen","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Amelia Dansen","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","George","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","George","","Camp Union near Annapolis MD January 1862 Wednesday 1.","1862-01-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
