element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","George Shorkley","","","Lt. Shorkley","1862-01-07","On board Steamship Cossack Tuesday January 7 1862","1862-01-07_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","real","Beaver","1862-01-07","On board Steamship Cossack Tuesday January 7 1862","1862-01-07_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","Capt. Hancock","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper095","","Capt Hancock","1862-01-07","On board Steamship Cossack Tuesday January 7 1862","1862-01-07_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","","","","Lord Lyons,","1862-01-07","On board Steamship Cossack Tuesday January 7 1862","1862-01-07_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","","","","John","1862-01-07","On board Steamship Cossack Tuesday January 7 1862","1862-01-07_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","Laura Sheller Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper016","real","Laura","1862-01-07","On board Steamship Cossack Tuesday January 7 1862","1862-01-07_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","John Morris","1862-01-07","On board Steamship Cossack Tuesday January 7 1862","1862-01-07_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","","","","Gen Reno,","1862-01-07","On board Steamship Cossack Tuesday January 7 1862","1862-01-07_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","Major Clark","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper096","real","Maj. Clark","1862-01-07","On board Steamship Cossack Tuesday January 7 1862","1862-01-07_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","John Morris","","","Morris","1862-01-07","On board Steamship Cossack Tuesday January 7 1862","1862-01-07_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","Morris","1862-01-07","On board Steamship Cossack Tuesday January 7 1862","1862-01-07_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0.xml"
