element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","William F. Campbell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper004","real","Campbell","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","Aaron Smith","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper006","","Smith","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","William F. Campbell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper004","real","Campbell","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","Aaron Smith","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper006","","Smith's","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Butcher","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Landlord","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","maid","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Landlord","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","maid","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Butcher","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Tailor's wife","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Tailor","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","sailor","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","tailor","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","tailor","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","Capt. Snyder","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper107","real","North Snyder","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Reeder","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Judge Jones","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","Capt. Snyder","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper107","real","North","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Capt Bell","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","Andrew Curtin","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmpler014","","Curtin","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","James Gibson","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper047","real","Dr Gibson","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","Lt. Gaulen","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper149","","Lt. Goulen","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Bennet the Pilot","1862-01-22","","1862-01-22_0_0_0_0_0_0_0_0_0.xml"
