element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","","","","Morris","","Tuesday 28.","1862-01-28_0_1_0_0_0_0.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","Morris","","Tuesday 28.","1862-01-28_0_1_0_0_0_0.xml"
"persName","","","","Col. Satterlie","","Tuesday 28.","1862-01-28_0_1_0_0_0_0.xml"
"persName","Col. Satterlie","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Col. Satterlie","","Tuesday 28.","1862-01-28_0_1_0_0_0_0.xml"
"persName","","","","Lt. Reed","","Tuesday 28.","1862-01-28_0_1_0_0_0_0.xml"
"persName","Lt. Reed","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Lt. Reed","","Tuesday 28.","1862-01-28_0_1_0_0_0_0.xml"
"persName","","","","Rodarmel","","Tuesday 28.","1862-01-28_0_1_0_0_0_0.xml"
"persName","Rodumel","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper111","","Rodarmel","","Tuesday 28.","1862-01-28_0_1_0_0_0_0.xml"
"persName","","","","Saml Wilson","","Tuesday 28.","1862-01-28_0_1_0_0_0_0.xml"
"persName","Saml Wilson","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Saml Wilson","","Tuesday 28.","1862-01-28_0_1_0_0_0_0.xml"
"persName","","","","North Snyder","","Tuesday 28.","1862-01-28_0_1_0_0_0_0.xml"
"persName","North Snyder","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","North Snyder","","Tuesday 28.","1862-01-28_0_1_0_0_0_0.xml"
