element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","Capt. Neal","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper089","","Captain","1862-02-06","Thursday Feb 6","1862-02-06_0_0_0_0_0_0_0.xml"
"persName","","","","Alcot","1862-02-06","Thursday Feb 6","1862-02-06_0_0_0_0_0_0_0.xml"
"persName","Alcott","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper115","","","1862-02-06","Thursday Feb 6","1862-02-06_0_0_0_0_0_0_0.xml"
"persName","","","","Ripley","1862-02-06","Thursday Feb 6","1862-02-06_0_0_0_0_0_0_0.xml"
"persName","","","","Prawe","1862-02-06","Thursday Feb 6","1862-02-06_0_0_0_0_0_0_0.xml"
"persName","Capt. Neal","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper089","","Capt","1862-02-06","Thursday Feb 6","1862-02-06_0_0_0_0_0_0_0.xml"
"persName","Capt. Neal","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper089","real","Capt.","1862-02-06","Thursday Feb 6","1862-02-06_0_0_0_0_0_0_0.xml"
"persName","Alcott","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper115","real","Alcot","1862-02-06","Thursday Feb 6","1862-02-06_0_0_0_0_0_0_0.xml"
"persName","Lt. Col. Potter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper097","real","Col","1862-02-06","Thursday Feb 6","1862-02-06_0_0_0_0_0_0_0.xml"
"persName","Lt. Col. Potter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper097","","Col.","1862-02-06","Thursday Feb 6","1862-02-06_0_0_0_0_0_0_0.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","real","Burnside","1862-02-06","Thursday Feb 6","1862-02-06_0_0_0_0_0_0_0.xml"
"persName","Alcott","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper115","","Alcot","1862-02-06","Thursday Feb 6","1862-02-06_0_0_0_0_0_0_0.xml"
