element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","","","Chaplain","the Chaplain of the 21st","1862-02-09","","1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Henry Wise","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper040","real","Capt Wise’s","1862-02-09","","1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","1862-02-09","","1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","Colonel","the Col","1862-02-09","","1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","real","Reno","1862-02-09","","1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Park","1862-02-09","","1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","G. H. Hassenplug","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper035","","Hassenplug","1862-02-09","","1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Piot","1862-02-09","","1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","John Blair Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper051","real","John Blair Linn","1862-02-09","","1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","1862-02-09","","1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Joseph Atkinson","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper062","real","Joseph Atkinson","1862-02-09","","1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","The Col","1862-02-09","","1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
