element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","real","Gen. Reno","1862-02-22","Saturday 22.","1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","captain","The Capt.","1862-02-22","Saturday 22.","1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Cuffy","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper114","real","little Cuffy","1862-02-22","Saturday 22.","1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","captain","Capt","1862-02-22","Saturday 22.","1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Dr Church","1862-02-22","Saturday 22.","1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","doctor","Dr Church","1862-02-22","Saturday 22.","1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","","Gen Reno","1862-02-22","Saturday 22.","1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","George Shorkley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper002","","Shorkley","1862-02-22","Saturday 22.","1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","colonel","Col.","1862-02-22","Saturday 22.","1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","officer","quartermaster","1862-02-22","Saturday 22.","1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","real","Gen Reno","1862-02-22","Saturday 22.","1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Capt. McChesney","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper120","","Capt Chesney","1862-02-22","Saturday 22.","1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml"
