element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","real","Beaver","1862-03-03","Monday 3.","1862-03-03_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Colonel","","","Col.","1862-03-03","Monday 3.","1862-03-03_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Mr. Walton","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper133","real","Mr Walton","1862-03-03","Monday 3.","1862-03-03_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","John Blair Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper051","real","John","1862-03-03","Monday 3.","1862-03-03_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","Morris","1862-03-03","Monday 3.","1862-03-03_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Aaron Smith","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper006","real","Smith","1862-03-03","Monday 3.","1862-03-03_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","John Foster","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper055","","Gen Foster","1862-03-03","Monday 3.","1862-03-03_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Aaron Smith","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper006","real","Smith","1862-03-03","Monday 3.","1862-03-03_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","","Frank Reno","1862-03-03","Monday 3.","1862-03-03_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Aaron Smith","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper006","","Smith","1862-03-03","Monday 3.","1862-03-03_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
