element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","John Blair Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper051","real","John","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Annie Catherine Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper015","","Annie","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Laura Sheller Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper016","real","Laura","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Thomas Bell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper072","","Lt. Col. Bell","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Capt. Ritchie","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper109","real","Capt Ritchie","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Capt. Ritchie","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper109","","Capt Ritchie","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","real","Tom. Grier","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Dr. Thompson","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper131","real","Dr Thompson","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","real","Morris","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Charles Mallory","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper019","","Mr Mallory","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","real","Gen. Burnsides","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Murphy","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper140","real","Murphy","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Adam Henry","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper010","real","Adam Henry","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","James A. Kelley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper045","","Jim Kelly","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","real","Gen Burnsides","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Samuel P. Heintzelman","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper069","","Gen. Heintzelman","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","real","Gen. Burnside","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Corporal","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Charles Merrill","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper020","real","Charles Merrill","","Sunday April 6th","1862-04-06_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
