element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","real","Lt Morris","","Sunday 13.","1862-04-13_0_0_0_0_0_0_0_1_0_0_1_0_0.xml"
"persName","","","","Gen.","","Sunday 13.","1862-04-13_0_0_0_0_0_0_0_1_0_0_1_0_0.xml"
"persName","Lt. Col. Edwin Shall","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper039","real","Lt Cols'","","Sunday 13.","1862-04-13_0_0_0_0_0_0_0_1_0_0_1_0_0.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","Morris","","Sunday 13.","1862-04-13_0_0_0_0_0_0_0_1_0_0_1_0_0.xml"
"persName","","","","Mr Schell","","Sunday 13.","1862-04-13_0_0_0_0_0_0_0_1_0_0_1_0_0.xml"
"persName","Gen. Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","","Gen Reno","","Sunday 13.","1862-04-13_0_0_0_0_0_0_0_1_0_0_1_0_0.xml"
"persName","Dr. Cutter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper124","real","Dr Cutter","","Sunday 13.","1862-04-13_0_0_0_0_0_0_0_1_0_0_1_0_0.xml"
"persName","","","","[Baron?] Egglestein","","Sunday 13.","1862-04-13_0_0_0_0_0_0_0_1_0_0_1_0_0.xml"
"persName","","","","Baras?","","Sunday 13.","1862-04-13_0_0_0_0_0_0_0_1_0_0_1_0_0.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","real","Tom Grier","","Sunday 13.","1862-04-13_0_0_0_0_0_0_0_1_0_0_1_0_0.xml"
"persName","Albert Sidney Johnson","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper011","","Gen Albert Sidney Johnston","","Sunday 13.","1862-04-13_0_0_0_0_0_0_0_1_0_0_1_0_0.xml"
"persName","","","","Beauregard","","Sunday 13.","1862-04-13_0_0_0_0_0_0_0_1_0_0_1_0_0.xml"
