element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Lt Beaver","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","Aaron Smith","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper006","","Smith","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","Bensiger","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper194","","Bensinger","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","","","","Fike]","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","Albion S. Knode","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper195","","Knode","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","Jacob Santo","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper043","","Santo,","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","Capt. Snyder","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper107","","Snyder","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","Jewett S. Harding","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper193","","Harding","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","Albion S. Knode","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper195","","Knode","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","Jewett S. Harding","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper193","","Harding","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","Jewett S. Harding","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper193","","Harding","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","Jewett S. Harding","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper193","","Harding","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","","","","Stetson","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","","","","Capt Neil","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
"persName","Charles Mallory","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper019","","Charles Mallory","","Saturday May 10 1862.","1862-05-10_0_0_0.xml"
