element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","","","Banks","Banks","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","Col.Kenly","Col. Kenly","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","Banks","Banks","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","Daniel Bible","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper022","real","Adjt. Bible","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","Bible","He","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","Bible","He","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","Bible","He","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","","old Brower of Norristown","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","Jones","Jones","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","John","John","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","Personnel","May Husburgh","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","Lineweaver","Lineweaver","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","John","John","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","real","Tom Grier","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","Edward Stanly","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper027","","Gov. Stanly","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","Abe","old Abes","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","Phelps","Phelps","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
"persName","","","Hunter","Hunter","1862-05-29","Thursday 29.","1862-05-29_0_0_0_0_0_0_0_0_0_0_0_1.xml"
