element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","James A. Kelley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper045","real","Lt. Kelly","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","Gen. Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","","Gen. Reno","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Capt. Biggs","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","Em French","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper029","real","Em French","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","Em French","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper029","","Em French","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Robert Marshall Col Kurtz","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","Sergt. Etwine","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper113","real","Fred Etweine","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","John Kenedy","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","James Gibson","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper047","real","Jim. Gibson","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Col. Kurtz","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Sgt. Grassmine","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Spaight","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Stanley","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Stanley","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Stanley","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Spaight","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Jim Niley","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Jack Stanley","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Jack Stanley","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
"persName","","","","Jack Stanley","1862-06-24","Wednesday 24.","1862-06-24_0_0_0_0_0_0_0_0.xml"
