element,key,ref,type,tagged_content,date,source_file
"persName","","","","fellow","","1861-12-10.xml"
"persName","","","","sergt","","1861-12-10.xml"
"name","","","weather","Today was very fine as to weather","","1861-12-10.xml"
"persName","Peter Koser","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper067","","Koser","","1861-12-10.xml"
"persName","Jacob Nyhart","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper042","","Neyhart","","1861-12-10.xml"
"persName","","","","","","1861-12-10.xml"
"persName","","","","Jeremiah Miller's brother","","1861-12-10.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","John Morris","","1861-12-10.xml"
"name","","","weather","south wind is blowing","","1861-12-10.xml"
"name","","","weather","rain","","1861-12-10.xml"
"name","","","weather","We have enjoyed a week of glorious weather.","","1861-12-10.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","John Morris","","1861-12-10.xml"
"objectName","","","food","tea","","1861-12-10.xml"
"objectName","","","equipment","candle","","1861-12-10.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","","Tom Grier","","1861-12-10.xml"
