element,key,ref,type,tagged_content,date,source_file
"placeName","Annapolis, MD","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl002","","Annapolis, Maryland, Camp Burnside November","","1861-11-22.xml"
"name","","","weather","This is a bright fair day","","1861-11-22.xml"
"objectName","","","food","breakfast","","1861-11-22.xml"
"persName","Henry Miller","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper100","","Henry Miller","","1861-11-22.xml"
"persName","","","","Hogan","","1861-11-22.xml"
"persName","James A. Kelley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper045","","Kelly","","1861-11-22.xml"
"placeName","","","","hospital","","1861-11-22.xml"
"objectName","","","food","tea and toast","","1861-11-22.xml"
"placeName","","","","hospital","","1861-11-22.xml"
"placeName","","","","hospital","","1861-11-22.xml"
"persName","Charles Drainer","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper018","","Charles Drainer,","","1861-11-22.xml"
"orgName","","","","company","","1861-11-22.xml"
"placeName","Hagerstown, MD","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl042","","Hagerstown.","","1861-11-22.xml"
"placeName","","","","town","","1861-11-22.xml"
"persName","","","","Mrs. Monroe,","","1861-11-22.xml"
"placeName","","","","school","","1861-11-22.xml"
"placeName","","","","Frederick.","","1861-11-22.xml"
"persName","","","","brother Harry","","1861-11-22.xml"
"persName","","","","Col. Hartshorne’s lady","","1861-11-22.xml"
"persName","","","","Col.","","1861-11-22.xml"
"placeName","Washington, D.C.","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl091","","Washington","","1861-11-22.xml"
element,key,ref,type,tagged_content,date,source_file
"name","","","weather","raining and the camp was wet and dreary.","","1861-11-23.xml"
"name","","","weather","","","1861-11-23.xml"
"placeName","","","","camp","","1861-11-23.xml"
"name","","","weather","wet and dreary","","1861-11-23.xml"
"name","","","Weather","rained","","1861-11-23.xml"
"objectName","","","weapon","muskets","","1861-11-23.xml"
"persName","Seth Housel","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper071","","Seth Housel","","1861-11-23.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","","1861-11-23.xml"
"persName","George Shorkley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper002","","George Shorkley","","1861-11-23.xml"
